2022-10-06 17:04:54.049307 | 627536901: /start
2022-10-06 17:06:29.442995 | 627536901: Покер
2022-10-06 17:06:29.448599 | 627536901: Покер
2022-10-06 17:06:33.276447 | 627536901: show_poker_games
2022-10-06 17:06:36.318624 | 627536901: return_to_menu
2022-10-06 17:06:38.467155 | 627536901: Blackjack
2022-10-06 17:06:38.471783 | 627536901: Blackjack
2022-10-06 17:06:43.337361 | 627536901: blackjack_start
2022-10-07 05:41:07.997350 | 627536901: hold
2022-10-07 05:41:09.503491 | 627536901: hold
2022-10-07 05:41:11.302666 | 627536901: hold
