2022-10-07 07:11:46.568220 | 467491465: /help
2022-10-07 07:11:49.041837 | 467491465: Правила Blackjack
2022-10-07 07:11:49.046958 | 467491465: Правила Blackjack
2022-10-07 07:11:50.411545 | 467491465: В главное меню
2022-10-07 07:11:50.417986 | 467491465: В главное меню
2022-10-07 07:11:54.046175 | 467491465: Blackjack
2022-10-07 07:11:54.049828 | 467491465: Blackjack
2022-10-07 07:12:37.540893 | 467491465: blackjack_up
2022-10-07 07:12:40.698571 | 467491465: blackjack_start
2022-10-07 07:12:43.491512 | 467491465: take_card
2022-10-07 07:12:45.215253 | 467491465: take_card
2022-10-07 07:12:46.752829 | 467491465: hold
2022-10-07 07:12:54.666167 | 467491465: Blackjack
2022-10-07 07:12:54.933068 | 467491465: Blackjack
2022-10-07 07:12:59.437164 | 467491465: blackjack_up
2022-10-07 07:13:01.847975 | 467491465: blackjack_start
2022-10-07 07:13:04.527580 | 467491465: take_card
2022-10-07 07:13:14.790391 | 467491465: take_card
2022-10-07 07:13:15.900968 | 467491465: take_card
2022-10-07 07:13:20.131175 | 467491465: hold
2022-10-07 07:13:26.692185 | 467491465: Blackjack
2022-10-07 07:13:27.256288 | 467491465: Blackjack
2022-10-07 07:13:30.295938 | 467491465: blackjack_up
2022-10-07 07:13:32.329241 | 467491465: blackjack_max
2022-10-07 07:13:34.106615 | 467491465: blackjack_start
2022-10-07 07:13:35.992315 | 467491465: take_card
2022-10-07 07:13:38.695485 | 467491465: take_card
2022-10-07 07:13:39.969734 | 467491465: take_card
2022-10-07 07:13:41.551287 | 467491465: hold
2022-10-07 07:13:48.087132 | 467491465: Blackjack
2022-10-07 07:13:48.388016 | 467491465: Blackjack
2022-10-07 07:13:51.773849 | 467491465: /help
2022-10-07 07:13:53.614499 | 467491465: Правила Blackjack
2022-10-07 07:13:53.960128 | 467491465: Правила Blackjack
2022-10-07 07:13:58.784712 | 467491465: В главное меню
2022-10-07 07:13:58.791208 | 467491465: В главное меню
